fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,date,time
12.1,-73.988558,40.7372,-73.958688,40.780747999999996,2,160,8329
5.3,-73.997037,40.737095000000004,-73.98612800000001,40.735043,2,790,6564
6.9,-73.971114,40.758944,-73.97793,40.736613,2,968,8195
4.5,-73.980822,40.74442,-73.991093,40.748796999999996,2,878,7790
3.3,-73.988877,40.763577000000005,-73.985573,40.760262,2,1073,2050
3.3,-73.98666,40.756071999999996,-73.989727,40.751702,7,1290,106
9.0,-73.992253,40.742657,-73.983597,40.755947,2,1485,4038
9.7,-73.985582,40.739765000000006,-73.973899,40.760426,2,1065,-1
5.5,-73.952825,40.772048,-73.95219399999999,40.781152,5,1370,7805
8.0,-73.980298,40.783722999999995,-73.979628,40.763179,2,1479,1698
7.5,-73.97770799999999,40.746212,-73.975782,40.745055,2,1706,999
25.5,-73.974497,40.751603,-73.934927,40.851566999999996,6,1770,435
15.3,-73.97151,40.755886,-73.968067,40.801173,2,1094,6525
34.67,-73.985427,40.758853,-73.872907,40.774497,2,514,6511
9.7,-73.97954200000001,40.727498,-73.999315,40.730088,6,805,8560
13.7,-74.002113,40.739582,-73.971918,40.791899,4,1291,9566
6.5,-73.98543000000001,40.736011,-73.982501,40.724802000000004,2,81,3933
5.0,-73.996148,40.741890000000005,-73.992202,40.739425,8,2018,3363
4.5,-74.009137,40.713436,-74.00282299999999,40.723428000000006,5,838,9306
4.9,-74.003985,40.731677000000005,-73.999765,40.723512,2,1092,5132
7.0,-73.96620300000001,40.7675,-73.980915,40.77424,8,1942,2620
7.3,-74.003919,40.753019,-73.992368,40.735362,2,1036,3297
7.5,-74.004736,40.715882,-74.017723,40.705141,2,1371,6443
8.5,-73.991467,40.750575,-73.98575,40.741547,6,1838,2563
16.5,-73.970323,40.750840000000004,-73.99839200000001,40.724862,8,1940,6691
11.5,-73.97927856,40.72343826,-74.00460815,40.74694824,8,2287,3115
15.018219229330182,-73.95479584,40.77933502,-73.94493103,40.78008652,2,2317,9552
6.9,-73.99578100000001,40.723411,-74.005004,40.71895,4,213,838
3.7,-74.00163,40.730767,-73.997112,40.737533,2,395,3337
6.9,-73.955118,40.768941999999996,-73.963495,40.761887,4,497,2169
10.1,-73.977788,40.771838,-73.9662,40.778113,4,1232,5331
16.5,-73.9828,40.745287,-74.01425,40.702935,2,2163,5620
15.07,-73.961933,40.795584999999996,-73.962253,40.764817,4,591,541
7.7,-73.996601,40.736569,-73.982152,40.744322,2,701,4907
24.9,-74.006662,40.73121,-73.92594,40.825588,2,950,1215
7.0,-73.988425,40.764342,-74.001642,40.745752,4,1493,8734
8.5,-73.994128,40.735087,-73.986393,40.751461,2,1983,8817
5.7,-73.97383,40.763717,-73.98942,40.771522,2,594,5832
5.0,-74.01335999999999,40.702272,-74.01699,40.709245,2,1525,5508
8.5,-73.95371,40.790813,-73.957015,40.777676,2,1621,2301
17.0,-74.00972800000001,40.705166999999996,-73.970897,40.749307,2,1645,8286
8.0,-73.950688,40.828531,-73.964101,40.80814,2,1901,3388
12.0,-73.995387,40.749482,-73.975789,40.748740999999995,2,2096,4564
12.5,-73.917399,40.746485,-73.97375600000001,40.763836,2,968,2266
7.5,-73.990815,40.730495,-73.978337,40.751084999999996,2,1960,1523
6.9,-74.00744300000001,40.732547,-73.991112,40.742312,7,1186,1404
5.0,-73.98874664,40.74495316,-73.99568176,40.74422073,4,2248,5145
10.5,-74.00113499999999,40.730979,-73.984424,40.76463,2,480,8432
7.7,-73.96888100000001,40.764533,-73.985311,40.748956,2,780,3443
11.0,-73.98105621,40.77426529,-73.95904541,40.78067398,4,2278,5762
5.7,-73.99282600000001,40.751271,-73.982786,40.742432,2,8,5191
9.0,-73.946852,40.775802,-73.96434,40.760703,2,1465,5028
13.5,-73.950655,40.783282,-73.984365,40.769802,2,1643,6137
7.5,-73.976512,40.765277000000005,-73.977672,40.778052,2,1737,6225
9.0,-73.984977,40.752122,-74.000925,40.757982,2,2162,4038
14.0,-73.9792099,40.723682399999994,-74.01746368,40.71139526,2,2322,2125
5.7,-73.983052,40.722588,-73.988022,40.733738,5,886,324
10.0,-74.002581,40.739571999999995,-73.99458,40.760682,2,-1,4137
5.7,-73.993452,40.761447,-73.979662,40.759617999999996,7,518,5085
9.7,-73.97070500000001,40.761643,-73.99283299999999,40.727647,4,675,7894
14.1,-73.974492,40.751369,-74.01058499999999,40.703364,2,795,1840
7.7,-73.991607,40.76318,-73.982718,40.76239,4,942,3230
52.0,-74.035839,40.74732,-74.035839,40.74732,2,83,51
11.3,-74.00766999999999,40.732177,-73.974663,40.758932,2,444,2982
8.5,-73.986681,40.725659,-73.977068,40.754504,2,1175,2683
12.9,-73.965315,40.790852,-73.978195,40.766375,8,1247,2645
9.5,-73.972195,40.765883,-73.96794200000001,40.761951,2,1401,3607
9.0,-73.982272,40.748357,-73.969325,40.763877,2,1963,6706
10.0,-73.99179699999999,40.735262,-73.975915,40.748697,8,2111,2302
35.0,-73.95331,40.787772,-73.944352,40.719772,2,1431,6501
9.0,-73.96083,40.77308,-73.978372,40.774907,2,1431,6501
17.0,-73.97339000000001,40.743883000000004,-73.954021,40.766063,2,2022,4203
6.1,-74.00012199999999,40.74308,-74.00615,40.734233,7,24,6795
14.5,-73.961598,40.716487,-73.960417,40.674963,4,449,806
3.7,-73.966957,40.761268,-73.967912,40.765535,2,732,6306
32.5,-73.872862,40.774105,-73.97059300000001,40.764393,4,1222,5204
5.3,-73.995083,40.739527,-73.999599,40.726264,5,367,3127
11.5,-73.972018,40.750142,-74.006008,40.73622,7,1403,8065
4.0,-73.993701,40.741569,-73.987999,40.748834,2,1783,9414
10.5,-73.966473,40.7575,-73.993336,40.745051000000004,2,531,5706
17.7,-73.87082,40.773748,-73.808317,40.7003,2,1322,7498
8.0,0.0,0.0,0.0,0.0,4,1473,6172
5.0,-73.971696,40.763378,-73.962035,40.776598,2,1586,5867
15.018219229330182,-73.98721,40.729325,-73.931985,40.697207,2,1716,1221
8.0,-73.98849200000001,40.717977000000005,-73.97818000000001,40.737407,2,1827,8256
7.3,-73.986588,40.72165,-74.00800500000001,40.717166999999996,4,636,2382
6.5,-73.98213,40.774807,-73.97358299999999,40.789645,7,1370,5527
8.0,-74.002843,40.733692,-73.987882,40.728590000000004,2,1498,81
16.5,-73.983837,40.676052,-74.002522,40.723145,2,2076,9208
49.57,-73.977023,40.7526,-73.79030999999999,40.643783,4,264,8191
10.5,-73.988006,40.737722999999995,-73.965699,40.766095,2,1124,4607
22.5,-73.9882,40.75909,-73.923683,40.86861,7,1133,506
11.5,-73.94747199999999,40.771227,-73.981832,40.760272,2,1446,1601
12.5,-73.984723,40.748022999999996,-73.977245,40.757891,4,2126,5947
5.5,-73.950305,40.785607,-73.943587,40.789532,2,1482,6751
6.5,-73.980735,40.747911,-73.97053000000001,40.761998,2,1596,3408
16.5,-73.99698639,40.75542831,-73.95319366,40.80210114,5,2336,1897
9.0,-74.00344849,40.73310089,-74.00800323,40.70721436,2,2231,8965
8.9,-73.9578,40.768003,-73.981712,40.763391999999996,2,175,3181
10.9,-73.983735,40.746697,-73.954411,40.772219,2,203,6042
8.9,-73.98103,40.729782,-73.993011,40.752803,2,805,5183
8.5,-73.963115,40.774034,-73.975251,40.760822999999995,2,852,3637
17.0,-73.962458,40.759027,-73.986199,40.753397,2,1495,2904
12.5,-74.003848,40.720855,-73.98098,40.668304,2,599,579
52.5,-73.982265,40.762062,-73.76855,40.675135,2,1954,8760
16.0,-74.005677,40.745546999999995,-73.962663,40.794295,2,2119,8286
8.0,-73.98548889,40.74728012,-74.00767517,40.74076843,2,2294,8784
17.3,-73.950972,40.785633000000004,-74.01024,40.720302000000004,2,500,1972
5.7,-74.00844000000001,40.711253,-74.001313,40.731078000000004,2,1024,1074
5.5,-73.98091125,40.74206543,-73.97698975,40.75165558,2,2293,2751
16.5,-73.974938,40.762091,-74.003309,40.706195,4,57,4503
12.9,-73.980755,40.680558000000005,-73.98911,40.726788,4,196,7820
10.1,-73.99124499999999,40.739058,-73.992972,40.76768,2,862,4360
9.5,-73.992583,40.730416999999996,-74.005352,40.740247,2,1677,8243
4.5,-73.979872,40.749027000000005,-73.97655300000001,40.757498,7,436,5478
6.5,-73.971541,40.764009,-73.975937,40.755971,2,843,4425
21.5,-74.00109863,40.72149658,-73.95943451,40.65306473,2,2215,107
8.0,-73.975189,40.759095,-73.98051,40.76761,2,2129,3908
4.9,-74.00301800000001,40.739779999999996,-73.99153299999999,40.733090999999995,2,360,8140
5.7,-73.991037,40.750049,-73.980438,40.75193,4,548,4337
15.3,-73.949477,40.768018,-74.003118,40.733022,7,889,4517
14.9,-73.992214,40.758864,-73.9938,40.722718,2,1331,4065
7.0,-73.999998,40.727087,-73.992448,40.735602,2,1406,6653
35.5,-73.86389100000001,40.770005,-74.007246,40.705533,2,1539,6508
8.5,-73.954598,40.78676,-73.966013,40.768112,2,2046,2289
15.018219229330182,-73.99414300000001,40.751193,-73.988897,40.759741999999996,2,15,8155
4.1,-73.982279,40.768364,-73.985968,40.762939,2,748,6826
11.7,-73.98149599999999,40.781003999999996,-73.99592,40.738813,2,784,7766
23.0,-73.99772800000001,40.746099,-73.94765600000001,40.829451,2,1629,841
5.7,-73.982357,40.762498,-73.97321,40.755345,4,156,9584
5.3,-73.96706999999999,40.769178000000004,-73.954895,40.778209999999994,2,23,2912
10.5,-73.94402313,40.77595901,-73.95504761,40.78507996,2,2243,2027
4.9,-73.982095,40.774001,-73.975373,40.787110999999996,2,83,5081
6.5,-73.98353,40.766992,-73.986255,40.779708,6,616,6836
11.3,-73.981154,40.729203999999996,-74.007407,40.748509999999996,4,968,4613
11.5,-73.963511,40.761732,-73.917488,40.739776,2,1558,1264
5.3,-73.98341500000001,40.761844,-73.990414,40.756375,4,148,2873
5.7,-74.006055,40.733166,-74.002895,40.74553,2,559,7052
8.1,-73.952198,40.788107000000004,-73.980767,40.774995000000004,2,249,6901
6.1,-74.008083,40.719238,-73.99831999999999,40.737977,2,523,1498
9.3,-73.995636,40.746573,-73.984437,40.767145,2,1196,6022
4.5,-73.972072,40.755691999999996,-73.972082,40.755727,4,1493,5116
5.7,-73.99049000000001,40.755982,-73.974202,40.75421,6,1072,1418
16.5,-73.95485,40.76542,-74.00751,40.73877,4,2029,2269
17.0,-73.954462,40.764046,-73.99459300000001,40.729271999999995,4,1613,5363
24.5,-74.01278,40.707952,-73.99793199999999,40.760632,8,2014,5347
6.1,-74.005278,40.735298,-73.986698,40.729892,2,508,7650
6.0,-74.004935,40.729625,-74.01615600000001,40.71741,2,1342,305
6.5,-73.998488,40.726303,-73.998488,40.726303,2,1829,8566
3.7,0.0,0.0,0.0,0.0,7,611,6074
4.5,-73.9265,40.765577,-73.93789699999999,40.764509999999994,5,1333,6951
27.0,-73.987285,40.718621999999996,-73.959295,40.778482000000004,2,1578,1947
16.0,-73.996652,40.744495,-73.980253,40.737635,2,1857,177
16.1,-73.959222,40.763282000000004,-73.9633,40.716935,2,376,6095
15.7,-73.97489499999999,40.751455,-73.98175400000001,40.783542,4,674,6114
26.9,-73.863072,40.768622,-73.98214499999999,40.736167,8,1203,224
5.5,-73.989692,40.735496999999995,-73.982012,40.739391999999995,2,1461,8401
6.0,-74.00031,40.747961,-73.993636,40.757228999999995,2,1734,2623
7.7,-74.00145,40.717487,-74.017455,40.709785,2,319,9564
12.9,-73.985185,40.72777,-73.98060500000001,40.759143,2,821,3575
11.3,-73.993973,40.746577,-74.00506,40.709365000000005,2,1206,7872
42.5,-73.795677,40.807722,-73.97868299999999,40.724365,4,737,5671
5.7,-73.98637,40.74738,-73.975567,40.744572,4,741,6552
5.3,-73.948001,40.77854,-73.958566,40.778483,4,1183,2122
10.5,-73.95410799999999,40.766901000000004,-73.984133,40.743475,2,404,2520
7.3,-73.99400899999999,40.76144,-73.972811,40.792574,2,877,8781
4.5,-73.99533100000001,40.739986,-73.987655,40.736707,2,994,2762
12.5,-73.982332,40.768633,-73.983343,40.744372,2,1387,2173
16.5,-73.9952,40.731697,-73.94977,40.780347,2,1706,8853
4.9,-74.002707,40.72664,-73.991825,40.72722,4,1303,7146
4.1,-73.990953,40.733067,-73.996235,40.725570000000005,2,964,2102
15.5,-73.985132,40.76853,-74.002285,40.730008000000005,2,1532,4270
11.0,-73.97221375,40.76557159,-73.97958374,40.73646927,2,2330,5266
4.9,-73.998287,40.72749,-73.98985400000001,40.735239,4,97,7070
11.3,-73.98019599999999,40.726966,-73.956413,40.77547,2,156,678
7.3,-73.983758,40.74643,-73.963557,40.774088,2,785,5053
14.9,-73.955268,40.782767,-73.93238199999999,40.794812,8,1103,3570
30.9,-73.981942,40.763977000000004,-73.870455,40.773607,7,1166,2090
6.1,-73.98971999999999,40.75238,-74.007553,40.743196999999995,2,1260,8043
3.3,-73.995802,40.749905,-73.99454300000001,40.750907,2,417,2897
4.1,-73.991863,40.754275,-73.983796,40.753213,2,1096,1716
12.0,-73.973857,40.764185,-73.994435,40.750242,5,2023,4740
9.0,-73.991485,40.754599,-74.00497,40.751692999999996,2,2038,3699
2.5,-73.989142,40.720105,-73.988777,40.720662,2,1179,1117
8.9,-73.98948,40.743287,-73.965692,40.754512,2,1272,4582
10.5,-73.97899100000001,40.72375,-73.96304599999999,40.711855,2,1852,1282
5.7,-74.000552,40.727492,-74.005037,40.719122999999996,2,683,7341
7.0,-74.002462,40.718762,-74.007071,40.705535999999995,4,1440,7076
12.0,-73.98499699999999,40.768466,-73.944564,40.800466,2,2022,9556
49.57,-73.982483,40.75674,-73.789985,40.64691,2,507,4891
8.5,0.0,0.0,0.0,0.0,15,931,446
4.5,-73.947035,40.776027,-73.95549799999999,40.764307,2,1321,6731
7.3,-73.977897,40.762802,-73.99153000000001,40.750252,7,219,8366
5.3,-73.986402,40.754723,-73.998898,40.739247999999996,2,372,177
6.9,-73.967425,40.755712,-73.983035,40.734913,7,625,7233
9.3,-73.971088,40.792648,-73.968405,40.769673,2,1227,6581
6.7,-73.95966899999999,40.779718,-73.976259,40.788413,2,43,5969
15.018219229330182,-73.979345,40.77663,-73.973842,40.757073999999996,2,170,7241
9.0,-73.98088,40.779967,-73.95374699999999,40.78777,2,1702,2157
13.0,-74.008125,40.738935,-73.980522,40.759953,4,1476,4965
19.0,-73.988834,40.76428,-73.941405,40.838664,2,1668,1629
5.5,-73.976474,40.765048,-73.964665,40.762986,2,1708,8709
8.1,-73.99606800000001,40.732605,-73.980675,40.761862,2,22,1864
9.3,-73.97321099999999,40.760752000000004,-73.974265,40.788281,2,776,4426
18.0,-73.997845,40.721235,-73.98825699999999,40.764125,2,1587,7440
12.0,-73.984227,40.766897,-73.96239,40.776037,2,2077,3966
7.3,-73.96853399999999,40.752603,-73.992625,40.742915999999994,2,110,9126
4.9,-73.95554,40.781958,-73.96219599999999,40.772095,4,268,5312
16.1,-73.789506,40.647040000000004,-73.81562199999999,40.680364000000004,2,511,8374
12.9,-73.978602,40.76412,-74.00885799999999,40.715637,4,848,2256
4.0,-73.96197509999999,40.77611160000001,-73.95484924,40.77407455,2,2230,6983
15.3,-74.006636,40.751407,-73.95497900000001,40.765281,2,848,4171
11.7,-73.954497,40.769857,-73.98431500000001,40.746007,2,1266,6256
25.3,-74.001343,40.74132,-73.928619,40.864267,2,505,9372
8.9,-73.993112,40.719910999999996,-73.95672900000001,40.720723,2,544,788
6.0,-73.978778,40.753502000000005,-73.973247,40.748146999999996,2,1572,718
6.0,-73.99578000000001,40.716218,-74.009132,40.72078,2,1578,1133
6.5,-74.003665,40.736906,-73.997843,40.724187,2,750,3697
7.5,-73.97733000000001,40.74948,-73.987669,40.732709,2,1378,8127
16.5,-74.00399017,40.74797821,-73.98319244,40.75632858,2,2305,4782
4.9,-73.983249,40.734655,-73.99127800000001,40.738918,18,556,2860
9.7,-73.962981,40.766443,-73.98893000000001,40.731434,2,1098,7005
7.7,-73.97935,40.784608,-73.963933,40.808145,2,1205,4292
19.0,-73.968675,40.799103,-73.935898,40.849863,4,1950,2837
16.9,-73.990057,40.756307,-73.94960400000001,40.834464000000004,2,211,4660
10.5,-74.00219799999999,40.739608000000004,-73.987342,40.720295,4,1413,3966
8.9,-73.99633,40.753225,-73.978895,40.766963,5,892,6519
7.5,-73.995892,40.746454,-73.995892,40.746454,2,1328,650
5.5,-74.005583,40.740728000000004,-74.003423,40.748705,2,1340,4570
10.9,-73.964958,40.775261,-73.94966099999999,40.809689,2,132,6601
8.1,0.0,0.0,0.0,0.0,6,302,6571
5.7,-73.967598,40.756242,-73.953277,40.76833,2,381,8654
18.1,-74.008134,40.748631,-73.952349,40.780512,4,339,3802
10.9,-73.95394,40.781298,-73.994423,40.75014,7,544,1477
8.9,-73.939093,40.805102000000005,-73.956073,40.771995000000004,7,820,6938
13.5,-73.981627,40.78042,-74.008465,40.734012,4,1883,9373
5.0,-74.00269,40.739438,-73.994579,40.75057,4,1960,8057
5.3,-73.958749,40.781019,-73.945876,40.778165,2,1066,7344
7.7,-73.98779,40.721226,-73.992425,40.735723,2,1259,717
9.0,-73.969465,40.797979999999995,-73.982315,40.776767,2,1457,4905
16.1,-73.988568,40.732096999999996,-73.957498,40.742657,2,1006,153
4.9,-73.966597,40.794345,-73.965682,40.803808000000004,4,1302,5747
5.5,-73.999432,40.749066,-73.995077,40.738264,2,1343,3152
57.33,-73.781127,40.645007,-73.981802,40.762515,2,1621,6289
8.5,-73.95660600000001,40.771111,-73.977111,40.776811,5,1880,9004
9.5,-73.981932,40.777668,-73.96005799999999,40.809688,2,1982,4851
7.5,-73.95310211,40.7887001,-73.95677948,40.80590439,2,2273,4504
6.9,-73.98243199999999,40.745746999999994,-73.98243199999999,40.745746999999994,2,347,4083
7.5,-73.99199499999999,40.74499,-73.986237,40.729637,4,1720,914
8.1,-73.988988,40.777013000000004,-73.997445,40.760155,2,242,3159
6.1,-74.006642,40.738927000000004,-74.010828,40.717907000000004,25,745,9523
5.7,-73.966612,40.759278,-73.975773,40.755462,2,1268,4343
14.1,-73.987365,40.738572,-73.97721800000001,40.775352000000005,2,385,2399
5.7,-73.989807,40.74123,-73.99391700000001,40.726492,2,928,5498
7.0,-73.95906,40.781061,-73.96206,40.768603999999996,2,1766,3562
12.0,-73.985652,40.722120000000004,-73.970955,40.751952,2,1861,760
11.5,-73.95511627,40.76898956,-73.98423767,40.74843979,2,2293,2313
12.1,-73.870936,40.773703000000005,-73.91426899999999,40.753681,2,449,8778
26.67,-73.958063,40.760414000000004,-73.86144300000001,40.768181,2,529,4501
4.5,-73.98674,40.755362,-73.995713,40.764137,2,619,2794
10.1,-73.98455600000001,40.742882,-73.95908100000001,40.763551,2,820,8055
7.7,-73.98101899999999,40.781874,-73.98199699999999,40.756597,2,854,3264
15.018219229330182,-73.95166,40.772657,-74.010583,40.721405,4,2013,1323
19.0,-73.97402,40.762828000000006,-73.940839,40.726467,2,2054,3136
14.0,-73.98859399999999,40.753364000000005,-73.989319,40.723218,2,1760,3740
5.0,-73.987888,40.721047999999996,-73.983132,40.731187,2,1775,635
43.5,-73.98020935,40.78373337,-74.01134491,40.64415741,2,2315,8964
8.0,-74.01072693,40.71009064,-73.99810028,40.72290039,2,2356,2909
8.7,-73.97798399999999,40.754546000000005,-73.958947,40.779092999999996,6,71,6337
3.7,-73.970892,40.755915,-73.966747,40.760517,2,754,8345
20.5,-73.965723,40.758641,-73.93782399999999,40.855636,2,1053,682
34.0,-73.97489929,40.75109482,-73.90854645,40.8818779,0,2338,9266
52.83,-73.87305450000001,40.774086,-73.98272705,40.77149582,2,2263,4119
6.1,-73.978945,40.767070000000004,-73.977897,40.783568,2,196,8939
8.5,-73.976877,40.759192,-73.991685,40.74981,2,1629,4624
20.0,-73.89317700000001,40.790756,-73.892578,40.788483,2,1890,7437
10.5,-73.985881,40.7383,-73.96499,40.775237,2,511,2245
26.5,-73.776747,40.645265,-73.81380300000001,40.709035,2,1160,9083
8.0,-73.96178436,40.7595787,-73.97894287,40.7726059,6,2337,8441
10.6,-73.994279,40.690409,-74.016739,40.709063,2,25,280
4.5,-73.965372,40.759256,-73.97487,40.752373,2,627,1724
9.7,-73.977829,40.788979,-73.967935,40.760508,2,795,8786
20.5,-73.96861899999999,40.766432,-74.00855899999999,40.704591,2,1064,2391
9.3,-73.982229,40.731821999999994,-73.980239,40.760162,2,1096,3365
18.5,-74.005385,40.707002,-73.992793,40.750741999999995,2,1966,8149
5.0,-73.98275100000001,40.762738,-73.97835400000001,40.764564,4,1938,8572
34.0,-73.863506,40.769985,-73.97582,40.765446000000004,2,214,2252
23.5,-73.992028,40.75497,-73.912663,40.780157,2,1403,7591
4.5,-73.980909,40.774584999999995,-73.98136,40.779419,5,344,5597
8.0,-73.985217,40.742177000000005,-73.99998000000001,40.726917,2,1797,4457
26.5,-73.977765,40.766177,-73.977982,40.766937,7,421,7639
5.5,-74.00482199999999,40.741812,-74.007312,40.733577000000004,4,2179,3537
6.1,-73.98795,40.757852,-73.988227,40.749963,2,81,7734
4.9,-73.970442,40.764695,-73.961907,40.765392,6,445,6331
5.3,-73.993085,40.752002000000005,-73.980337,40.764829999999996,2,390,5143
8.1,-73.99096999999999,40.742158,-73.977728,40.726729999999996,2,912,4884
20.33,-73.994718,40.750306,-73.95051099999999,40.728566,2,1547,22
4.5,-73.955282,40.768865000000005,-73.949683,40.776472,2,1635,7734
7.0,-74.002792,40.760515000000005,-74.00441500000001,40.741973,2,1953,3910
7.7,-73.987145,40.722568,-74.005402,40.739583,2,191,3995
7.3,-73.990575,40.746117,-74.003227,40.751447,2,288,3198
33.07,-73.862764,40.769064,-73.984033,40.752842,4,523,5130
36.5,-73.873068,40.774183,-73.978847,40.762062,7,850,4587
5.0,-73.99436,40.72039,-73.98577,40.723040000000005,4,1822,1348
23.5,-73.958585,40.775615,-74.00048000000001,40.737611,2,1997,6335
6.1,-73.97985,40.786315,-73.985068,40.774133,2,1220,5376
11.0,-73.956597,40.777432,-73.980035,40.763175,2,1468,6552
15.018219229330182,-73.96826,40.76514,-73.961115,40.774882,8,2069,5352
11.3,-73.975868,40.790141999999996,-74.006695,40.751278000000006,7,262,3596
8.1,-73.990397,40.75103,-73.981137,40.764718,2,318,7515
8.9,-74.000763,40.729744000000004,-73.974662,40.749159000000006,5,450,8890
4.5,-73.99784,40.68295,-73.980198,40.676842,2,777,8822
11.0,-73.978836,40.764745,-73.984774,40.745978,2,1487,7327
8.5,-73.992108,40.764203,-73.973,40.762695,20,1625,3168
8.5,0.0,0.0,0.0,0.0,2,1641,5880
8.1,-73.978916,40.78712,-73.957307,40.783588,2,379,3459
6.9,-73.996268,40.738123,-73.98238,40.73617,2,625,5310
6.0,-73.971462,40.761332,-73.980797,40.768002,2,1779,8678
5.3,-73.988927,40.760222999999996,-73.991474,40.750591,2,116,7781
6.1,-73.980068,40.743103000000005,-73.99118100000001,40.750228,2,1056,354
9.5,-73.995776,40.748921,-73.96882099999999,40.764390999999996,4,1405,199
11.5,-73.97941,40.766107,-74.003015,40.750522,2,1808,2639
17.0,-74.01294708,40.70524216,-73.98070526,40.74221420000001,8,2258,2689
5.3,-73.978002,40.778607,-73.970662,40.788625,2,210,5045
10.0,-73.99588299999999,40.743784999999995,-73.990057,40.767137,2,1618,5803
15.5,-73.957675,40.717887,-73.942583,40.686397,2,2163,372
6.9,-73.977757,40.762991,-73.983801,40.779517999999996,2,525,6322
18.1,-73.986592,40.761807,-74.01065899999999,40.704133,2,847,4202
15.5,-73.99411774,40.75117874,-73.97511292,40.75645828,2,2326,2686
10.1,-73.982334,40.722411,-73.964907,40.755644000000004,2,1124,664
21.5,-73.955235,40.773077,-74.00795500000001,40.71711,8,1537,7146
8.5,-73.99413,40.76668,-73.98861,40.75705,2,2098,7609
7.3,-73.988883,40.73405,-73.992385,40.724841999999995,2,1315,5770
2.5,0.0,0.0,0.0,0.0,2,1970,1423
8.5,-73.958118,40.773086,-73.94694100000001,40.779994,2,2080,5273
6.1,-73.970447,40.75779,-73.969687,40.769923,7,569,2948
14.1,-73.98109699999999,40.764483,-73.99185,40.722037,2,1146,7368
6.0,-73.9742,40.762693,-73.979824,40.755547,2,1820,5304
8.5,-73.958823,40.783588,-73.978697,40.777533,2,2160,4710
8.0,-73.9879303,40.72850037,-74.00728607,40.72747803,2,2309,2787
5.3,-73.971913,40.75925,-73.962905,40.77216,2,1206,5746
10.5,-73.978389,40.757757,-73.98044200000001,40.733626,2,1827,7193
5.5,-73.97077942,40.75881577,-73.97015381,40.74894333,2,2236,1756
8.1,-73.960853,40.761557,-73.97633499999999,40.748360999999996,17,232,7297
